actual,proposed
0.0,15.84616756439209
0.0,11.3386812210083
0.0,7.3875651359558105
0.0,3.6471967697143555
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,5.21710729598999
206.4216766357422,12.68864631652832
254.16851806640625,20.170520782470703
271.22088623046875,27.662294387817383
291.68377685546875,41.68613815307617
308.73626708984375,48.41084289550781
0.0,55.250980377197266
0.0,29.243900299072266
0.0,17.674514770507812
0.0,13.021109580993652
0.0,8.773210525512695
0.0,5.289118766784668
0.0,2.3391215801239014
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.603257954120636
0.0,2.177114725112915
0.0,3.96018123626709
0.0,6.401844024658203
0.0,7.681365966796875
0.0,8.939024925231934
0.0,9.911445617675781
0.0,11.30424690246582
0.0,14.542745590209961
0.0,15.624700546264648
0.0,17.380870819091797
0.0,18.51422882080078
0.0,19.5179443359375
0.0,21.195667266845703
0.0,22.427101135253906
0.0,23.237646102905273
0.0,23.95675277709961
0.0,24.595178604125977
0.0,25.932859420776367
0.0,26.47673988342285
0.0,27.49276351928711
0.0,28.379623413085938
0.0,29.558645248413086
0.0,31.99108123779297
0.0,33.12390899658203
0.0,33.45643615722656
0.0,35.369667053222656
0.0,35.94319152832031
0.0,36.25308609008789
0.0,36.686771392822266
0.0,36.92351531982422
0.0,37.13722229003906
0.0,38.03814697265625
0.0,37.8554573059082
0.0,37.44693374633789
0.0,37.63700866699219
0.0,37.669471740722656
0.0,37.702816009521484
0.0,37.505733489990234
0.0,37.18021774291992
0.0,36.771400451660156
0.0,36.102394104003906
0.0,35.847251892089844
0.0,35.36033248901367
0.0,34.8270149230957
0.0,34.34646987915039
0.0,34.33250427246094
0.0,34.184356689453125
0.0,34.05778503417969
0.0,33.95024490356445
0.0,33.68867874145508
0.0,33.63688278198242
0.0,33.56278991699219
0.0,33.538230895996094
0.0,33.25465774536133
0.0,33.148441314697266
0.0,33.05875015258789
0.0,32.717620849609375
0.0,32.56049346923828
0.0,32.69179916381836
