actual,proposed
-0.14579643309116364,-0.03985222056508064
-0.1446063369512558,-0.0393662191927433
-0.13512052595615387,-0.03904486447572708
-0.13456450402736664,-0.03618382290005684
-0.13512052595615387,-0.036333344876766205
-0.1373445987701416,-0.037236638367176056
-0.1592152863740921,-0.03784707561135292
-0.16178306937217712,-0.04458186402916908
-0.16370889544487,-0.04584021493792534
-0.16627667844295502,-0.04711354523897171
-0.17415045201778412,-0.05065961182117462
-0.17738714814186096,-0.05302136018872261
-0.18127115070819855,-0.05518949776887894
-0.18580244481563568,-0.05780794844031334
-0.22304661571979523,-0.060698311775922775
-0.23199686408042908,-0.0770801305770874
-0.2387094646692276,-0.08249367773532867
-0.24616777896881104,-0.08488090336322784
-0.25288015604019165,-0.09273053705692291
-0.2375815212726593,-0.0966644436120987
-0.2465582638978958,-0.0942474901676178
-0.25829681754112244,-0.10476259142160416
-0.26451119780540466,-0.10476259142160416
-0.26796358823776245,-0.11404360085725784
-0.29811280965805054,-0.11940311640501022
-0.30392804741859436,-0.13582149147987366
-0.30974313616752625,-0.13582149147987366
-0.31483128666877747,-0.14387495815753937
-0.3100423514842987,-0.14387495815753937
-0.31212255358695984,-0.15393519401550293
-0.31281596422195435,-0.15503817796707153
-0.3148961365222931,-0.15781579911708832
-0.3249899446964264,-0.1606149673461914
-0.3256962299346924,-0.16612569987773895
-0.3292275369167328,-0.16975565254688263
-0.3755992650985718,-0.17158475518226624
-0.37639978528022766,-0.1961769163608551
-0.3755992650985718,-0.1961769163608551
-0.3747987449169159,-0.19534221291542053
-0.27781012654304504,-0.19409283995628357
-0.2512248754501343,-0.19409283995628357
-0.2501375377178192,-0.12841293215751648
-0.24905018508434296,-0.1273012012243271
-0.2479628175497055,-0.1261942833662033
-0.24687547981739044,-0.12509219348430634
-0.2457880973815918,-0.12399494647979736
-0.22436940670013428,-0.12262941896915436
-0.2213716059923172,-0.11045101284980774
-0.21987269818782806,-0.10823225975036621
-0.21837379038333893,-0.10676641017198563
-0.24369306862354279,-0.10603848099708557
-0.24313294887542725,-0.11752236634492874
-0.24201272428035736,-0.11725220829248428
-0.24089248478412628,-0.11563625186681747
-0.2397722601890564,-0.11456558853387833
-0.2217925488948822,-0.11349990218877792
-0.2197103053331375,-0.10351388156414032
-0.21918973326683044,-0.10302563011646271
-0.19730335474014282,-0.10253794491291046
-0.19730335474014282,-0.09207916259765625
-0.19730335474014282,-0.09207916259765625
-0.1963639259338379,-0.09164070338010788
-0.19589421153068542,-0.09098614007234573
-0.1949547827243805,-0.09033314883708954
-0.22372683882713318,-0.09011653810739517
-0.22533227503299713,-0.10466066747903824
-0.22640256583690643,-0.10591254383325577
-0.22693772614002228,-0.10666723549365997
